index,count,hate_speech,offensive_language,neither,class,tweet,clean_tweet
0,5,0,0,5,2,white right away has a very strong attack,white right away has a very strong attack
1,5,0,0,5,2,this fact was basically looked over by black he didn't care about Queen takes p7 and so we captured a pawn white is a pawn up,this fact was basically looked over by black he didn t care about queen takes p7 and so we captured a pawn white is a pawn up
2,5,0,0,5,2,white doesn't want to start to attack on one side and then just have black you know castle to the other side ,white doesn t want to start to attack on one side and then just have black you know castle to the other side
3,5,0,0,5,2,however black played rook to f7 now blocking the this attack,however black played rook to f7 now blocking the this attack
4,5,0,0,5,2,black could even try an aggressive immediate counter gambit,black could even try an aggressive immediate counter gambit
5,5,0,0,5,2,or black he has to keep in mind what is he going to be attacking this white King,or black he has to keep in mind what is he going to be attacking this white king
6,5,0,0,5,2,black has some very strong central control so all in all it's a trade off couple of luck,black has some very strong central control so all in all it s a trade off couple of luck
7,5,0,0,5,2,started to play the most attacking game of the match,started to play the most attacking game of the match
8,5,0,0,5,2,lack now brought his queen to d6 again it was being attacked so he did need to move it,lack now brought his queen to d6 again it was being attacked so he did need to move it
9,5,0,0,5,2,opening up a discovered attack on the Queen pawn captures ,opening up a discovered attack on the queen pawn captures
10,5,0,0,5,2,This move played by white will limit the development of black's pieces,this move played by white will limit the development of black s pieces
11,5,0,0,5,2,black decided to take with his night here on d5 and white recaptured with his pawn,black decided to take with his night here on d5 and white recaptured with his pawn
12,5,0,0,5,2,"Because of the move that White had just played, the position has become more than difficult for Black, who is facing a lost game",because of the move that white had just played the position has become more than difficult for black who is facing a lost game
13,5,0,0,5,2,the Lolli attack system here with black hitting the knight,the lolli attack system here with black hitting the knight
14,5,0,0,5,2,Rob joins the attack and here it would be very difficult to repel this Queen,rob joins the attack and here it would be very difficult to repel this queen
15,5,0,0,5,2,The Fried Liver Attack is a great opening that allows White to steal Black's material and gain a material advantage over Black,the fried liver attack is a great opening that allows white to steal black s material and gain a material advantage over black
16,5,0,0,5,2,black plays Queen to Bishop to f5 and he traps the Queen,black plays queen to bishop to f5 and he traps the queen
17,5,0,0,5,2,not allowing d4 to come with a double attack but black still plays it here black should just play it safe,not allowing d4 to come with a double attack but black still plays it here black should just play it safe
18,5,0,0,5,2,White has developed its pieces better than Black,white has developed its pieces better than black
19,5,0,0,5,2,Cheverny for example in the 1930s as black doesn't really engage in any of the central squares,cheverny for example in the 1930s as black doesn t really engage in any of the central squares
20,5,0,0,5,2,The white queen is forcing the black king to retreat,the white queen is forcing the black king to retreat
21,5,0,0,5,2, if black first place a 6 then you can keep your dark square,if black first place a 6 then you can keep your dark square
22,5,0,0,5,2,"If Black does not defend itself against the strong threat from White's c pawn, Black might eventually lose its queen",if black does not defend itself against the strong threat from white s c pawn black might eventually lose its queen
23,5,0,0,5,2,This white bishop is badly positioned and is about to be captured by this black knight,this white bishop is badly positioned and is about to be captured by this black knight
24,5,0,0,5,2,now already black is threatening some ideas,now already black is threatening some ideas
25,5,0,0,5,2,Both the black knight and the black bishop are targeting and eyeing down on the f2 pawn for White,both the black knight and the black bishop are targeting and eyeing down on the f2 pawn for white
26,5,0,0,5,2,Black has taken many of White's material,black has taken many of white s material
27,5,0,0,5,2,start an attack on the king side,start an attack on the king side
28,5,0,0,5,2,here comes the second pawn that white captures,here comes the second pawn that white captures
29,5,0,0,5,2,This opening trap by white will force black to give up many of its pieces,this opening trap by white will force black to give up many of its pieces
30,5,0,0,5,2,The most deadly fork is the Royal Fork where a white or black knight forks a white or black king and a white or black queen at the same time,the most deadly fork is the royal fork where a white or black knight forks a white or black king and a white or black queen at the same time
31,5,0,0,5,2,all white we'll still get plenty of attacking chances but black will get a less of a contract tacking chance,all white we ll still get plenty of attacking chances but black will get a less of a contract tacking chance
32,5,0,0,5,2,black actually captures the pawn then queen c3 comes with the threat of capturing the Queen with rook to a1 but also it pressures the g7 point the knight and Queen are both attacking it,black actually captures the pawn then queen c3 comes with the threat of capturing the queen with rook to a1 but also it pressures the g7 point the knight and queen are both attacking it
33,5,0,0,5,2,black can't immediately go for some well analyzed defense but we can pretty much transpose into anything ,black can t immediately go for some well analyzed defense but we can pretty much transpose into anything
34,5,0,0,5,2,"Black played 13â¦ Bxa3, demolishing the pawn structure that defend the white king.",black played 13 bxa3 demolishing the pawn structure that defend the white king
35,5,0,0,5,2,Black accepts the gambit played by White and allows White to assert its dominance in the center of the board after white plays pawn to d4,black accepts the gambit played by white and allows white to assert its dominance in the center of the board after white plays pawn to d4
36,5,0,0,5,2,"White just made an aggresive move, which will likely cause Black to play more passively",white just made an aggresive move which will likely cause black to play more passively
37,5,0,0,5,2,f7 is the most vulnerable white square on the board  ,f7 is the most vulnerable white square on the board
38,5,0,0,5,2,White looks to sacrifice his knight on f7 so that he can take initiative and start a great assault against the black king,white looks to sacrifice his knight on f7 so that he can take initiative and start a great assault against the black king
39,5,0,0,5,2,White can force a checkmate on the Black king,white can force a checkmate on the black king
40,5,0,0,5,2,White goes first and Black goes second ,white goes first and black goes second
41,5,0,0,5,2,"Playing as White, Fischer had fully loaded up Alekhine's gun on the a-file with Qa1",playing as white fischer had fully loaded up alekhine s gun on the a file with qa1
42,5,0,0,5,2,Alekhine's gun is a well-known piece configuration that is created when a player places their heavy pieces on the same file,alekhine s gun is a well known piece configuration that is created when a player places their heavy pieces on the same file
43,5,0,0,5,2,G file will be a very nice attacking formation so we have a look B to e 8 now pressuring this paw,g file will be a very nice attacking formation so we have a look b to e 8 now pressuring this paw
44,5,0,0,5,2,"In this example of a zugzwang, white has put black in a disadvantage since the only move that black can make is ke5",in this example of a zugzwang white has put black in a disadvantage since the only move that black can make is ke5
45,5,0,0,5,2,many players were black are trying to kill the fun of it,many players were black are trying to kill the fun of it
46,5,0,0,5,2,this will be much better for white but even if black doesn't want to go for this immediate a6 white doesn't have to go a 4 white,this will be much better for white but even if black doesn t want to go for this immediate a6 white doesn t have to go a 4 white
47,5,0,0,5,2, kind of prevent white from pushing efore and f4 ,kind of prevent white from pushing efore and f4
48,5,0,0,5,2,"White to play and win: Barrientos Medina, Juan Carlos vs Fiorito, Francisco. XX Rio Grande Domingo Int 2020.",white to play and win barrientos medina juan carlos vs fiorito francisco xx rio grande domingo int 2020
49,5,0,0,5,2,there is no defense against Queen G for checkmate and black can just waste a couple of moves by sacrificing pieces but it's first chance white gates,there is no defense against queen g for checkmate and black can just waste a couple of moves by sacrificing pieces but it s first chance white gates
50,5,0,0,5,2, than e4 leaves a white with a lot more options and one thing I also you have to know if you're an only player that white can't go for the this d6,than e4 leaves a white with a lot more options and one thing i also you have to know if you re an only player that white can t go for the this d6
51,5,0,0,5,2,The Black Queen has been trapped and has no where to run ,the black queen has been trapped and has no where to run
52,5,0,0,5,2,vichy i mean putting in the the psychological work of what might yon the punjabi not be comfortable with today,vichy i mean putting in the the psychological work of what might yon the punjabi not be comfortable with today
53,5,0,0,5,2,"In this case, the Black king is going to be attacked by many of White's minor pieces",in this case the black king is going to be attacked by many of white s minor pieces
54,5,0,0,5,2,One thing which quenches or rather addresses the aggression of white and makes blacks game potentially aggressive is for black to do a counter gambit,one thing which quenches or rather addresses the aggression of white and makes blacks game potentially aggressive is for black to do a counter gambit
55,5,0,0,5,2,The pin by the white bishop on the black king has put black in an uncomfortable situation,the pin by the white bishop on the black king has put black in an uncomfortable situation
56,5,0,0,5,2,Black's king is wide open for White to repeatedly attack it for the rest of the match,black s king is wide open for white to repeatedly attack it for the rest of the match
57,5,0,0,5,2,the queen used to be one of the weakest pieces on the board,the queen used to be one of the weakest pieces on the board
58,5,0,0,5,2,Playing this move maintains a large advantage for White over Black,playing this move maintains a large advantage for white over black
59,5,0,0,5,2,The black bishop is blocked and impeded by friendly black pawns and therefore cannot move,the black bishop is blocked and impeded by friendly black pawns and therefore cannot move
60,5,0,0,5,2,The rook is pinning the knight to the black king,the rook is pinning the knight to the black king
61,5,0,0,5,2,d2 simply gives a white more than enough compensation,d2 simply gives a white more than enough compensation
62,5,0,0,5,2,Black wants to give up some material to get some development himself,black wants to give up some material to get some development himself
63,5,0,0,5,2,the position becomes very difficult to play for black ,the position becomes very difficult to play for black
64,5,0,0,5,2,obviously white captures the rook the exchange that was sacrificed by black,obviously white captures the rook the exchange that was sacrificed by black
65,5,0,0,5,2,Here black has a number of options,here black has a number of options
66,5,0,0,5,2,with the threat of f3 and after white pushes f3,with the threat of f3 and after white pushes f3
67,5,0,0,5,2,"Whenever Carlsen plays as black, he loses the game to the player playing as white",whenever carlsen plays as black he loses the game to the player playing as white
68,5,0,0,5,2,some players go a 6 here but now after a 4 or white is actually what is actually better here ,some players go a 6 here but now after a 4 or white is actually what is actually better here
69,5,0,0,5,2, immediately because black and easily punished this would be five after we captured a point now f5 so attacking the knight that's defending the other night,immediately because black and easily punished this would be five after we captured a point now f5 so attacking the knight that s defending the other night
70,5,0,0,5,2,didn't really care whether he played with the white or with the black pieces,didn t really care whether he played with the white or with the black pieces
71,5,0,0,5,2,if black doesn't play perfectly white can get that back,if black doesn t play perfectly white can get that back
72,5,0,0,5,2,now isn't really doing anything black,now isn t really doing anything black
73,5,0,0,5,2,you're under attack a white sacrifice material,you re under attack a white sacrifice material
74,5,0,0,5,2,so attacking this Queen forcing the Queen to move somewhere again all of his pieces are defended,so attacking this queen forcing the queen to move somewhere again all of his pieces are defended
75,5,0,0,5,2,black does have a bishop but White's knight on f5 is extremely strong you could either kick it away by weakening your position,black does have a bishop but white s knight on f5 is extremely strong you could either kick it away by weakening your position
76,5,0,0,5,2,"At this point, nothing can stop black from checkmating white",at this point nothing can stop black from checkmating white
77,5,0,0,5,2,This light-square bishop has more value than that dark-square bishop,this light square bishop has more value than that dark square bishop
78,5,0,0,5,2,well best move for black would be something like King to d8 but what White would still prevail here,well best move for black would be something like king to d8 but what white would still prevail here
79,5,0,0,5,2,The King's Indian Defense is a solid Black defense against all White openings,the king s indian defense is a solid black defense against all white openings
80,5,0,0,5,2,this doesn't allow black to go night to h5,this doesn t allow black to go night to h5
81,5,0,0,5,2,this position is already quite an advantage for white,this position is already quite an advantage for white
82,5,0,0,5,2,Black wants to play that violent e5,black wants to play that violent e5
83,5,0,0,5,2,black would have a very comfortable game so after Knight c5 we have a knight eat it before threatening a lot of very interesting ideas,black would have a very comfortable game so after knight c5 we have a knight eat it before threatening a lot of very interesting ideas
84,5,0,0,5,2,the black doesn't really have any options,the black doesn t really have any options
85,5,0,0,5,2,if white tries g3 or something then this Knight can move,if white tries g3 or something then this knight can move
86,5,0,0,5,2,it's going to be very difficult for white anytime soon to come over and attac,it s going to be very difficult for white anytime soon to come over and attac
87,5,0,0,5,2,so after Queen to d7 black decided to play King captures on d6 d7 as well,so after queen to d7 black decided to play king captures on d6 d7 as well
88,5,0,0,5,2,The white king is threatening the black bishop to retreat,the white king is threatening the black bishop to retreat
89,5,0,0,5,2,even a win with white is hardly possible but against such an Indian player like both unique you never,even a win with white is hardly possible but against such an indian player like both unique you never
90,5,0,0,5,2,Queen can also join the attack it would be it would be just an excellent position for white,queen can also join the attack it would be it would be just an excellent position for white
91,5,0,0,5,2,they really start to attack the white king on the King side,they really start to attack the white king on the king side
92,5,0,0,5,2,here against the White King,here against the white king
93,5,0,0,5,2,again attacking the Queen forcing her to move from this diagonal Bernstein,again attacking the queen forcing her to move from this diagonal bernstein
94,5,0,0,5,2,"By playing this opening for black, black will launch a strong counterattack against white's opening",by playing this opening for black black will launch a strong counterattack against white s opening
95,5,0,0,5,2,"After White played that devastating move, Black has no choice but to resign ",after white played that devastating move black has no choice but to resign
